Date,ID_actor,Time,Event,ID_attending1,ID_attending2,ID_attending3,ID_attending4,ID_attending5,ID_attending6,ID_attending7,ID_attending8,ID_attending9,ID_Attending10,ID_Attending11
,,,,,,,,,,,,,,
29.05.18,Avo,06:25:39,g,Xian,Bela,Gran,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:28:15,ach,Lima,Gran,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:28:16,acms,Lima,Gran,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:28:19,sch,Lima,Gran,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:28:25,epm,Lima,Gran,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:28:49,epm,Lima,Gran,Gene,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:28:52,scms,Lima,Gran,Gene,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:28:54,epm,Lima,Gran,Gene,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:28:59,acms,Lima,Gran,Gene,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:29:01,sch,Lima,Gran,Gene,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:29:01,epm,Lima,Gran,Gene,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:29:02,epm,Lima,Gran,Gene,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:29:07,epm,Lima,Gran,Gene,Xia,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Xia,06:29:14,g,Lima ,Gran,Gene,Avo,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:29:15,scms,Lima,Gran,Gene,Xia,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:29:17,epm,Lima,Gran,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:24,acms,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:25,acms,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:28,acms,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:29,scms,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Xia,06:29:29,eop,Lima,Gran,Gene,Avo,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:29:31,acms,Lima,Gran,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:31,epm,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Avo,06:29:32,epm,Lima,Gran,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:33,scms,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:34,epm,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:36,acmt,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:38,scms,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:40,epm,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:42,acms,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:49,scms,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:52,epm,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:29:54,epm,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:30:12,acms,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Xia,06:30:13,scms,Lima,Gran,Gene,,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:30:14,sch,Lima,Avo,Gene,Xia,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Xia,06:30:15,epm,Lima,Gran,Gene,,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Xia,06:30:30,acms,Lima,Gran,Gene,,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Xia,06:30:33,scms,Lima,Gran,Gene,,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Xia,06:30:37,eph,Lima,Gran,Gene,,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Xia,06:30:46,eph,Lima,,,,Ura,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:30:59,acmt,Cus,Lima,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:31:01,acms,Cus,Lima,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,06:42:29,g,Ula ,Ura,Upps,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Ula,06:42:59,g,Gene,Gaya,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Cus,06:46:14,g,Gene,Prai,Avo,Rosl,Gran,,,,,,
,,,,,,,,,,,,,,
29.05.18,Prai,07:00:38,ach,Gene,Gaya,Upps,Guat,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Prai,07:00:42,ach,Gene,Gaya,Upps,Guat,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Prai,07:00:48,sch,Gene,Gaya,Upps,Guat,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Xala,07:05:25,eop,Can,Umt,Pro,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Umt,07:05:31,g,Can,Xala,Pro,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Twe,07:06:01,gop,Gran,Umt,Xala,Xal,Pye,Rosl,Gaya ,Guat,Bela,,
,,,,,,,,,,,,,,
29.05.18,Gran,07:06:10,acmt,Umt,Xala,Xal,Pye,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,07:06:13,sch,Umt,Xala,Xal,Pye,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,07:06:13,sch,Xala,Pru,Xal,Pro,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,07:06:17,ach,Umt,Xala,Xal,Pye,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,07:06:17,ach,Xala,Pru,Xal,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,07:06:18,ach,Xala,Pru,Xal,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Gran,07:06:22,sch,Umt,Xala,Xal,Pye,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Guat,07:06:32,gop,Umt,Xala,Pye,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Umt,07:06:35,gop,Xala,Pye,Guat,Pro,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Xal,07:06:56,gop,Xala,Pye,Umt,Pro,Guat,Pru,,,,,
,,,,,,,,,,,,,,
29.05.18,Guat,07:07:01,g,Xala,Pru,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Guat,07:07:13,ach,Pru,Pye,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Guat,07:07:16,acms,Pye,Xal,Pru,Pro,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Guat,07:07:16,acmt,Pru,Pye,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Pru,07:07:21,eop,Guat,Pye,Xal,Xin,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Pru,07:07:21,eop,Pye,,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Guat,07:07:27,ach,Pru,Pye,Xal,Ura,Xin,,,,,,
,,,,,,,,,,,,,,
29.05.18,Guat,07:07:28,ach,Pru,Pye,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Guat,07:07:33,ach,Pru,Pye,,,,,,,,,
,,,,,,,,,,,,,,
29.05.18,Pye,07:07:48,gop,Pru,,,,,,,,,,
,,,,,,,,,,,,,,
07.06.18,Gran,06:39:43,gop,,,,,,,,,,,
